sentence_id	token_id	token	surprisal
1	1	随着	8.38126427827
1	2	人民	7.80944462619
1	3	选择	10.258857899
1	4	的	2.92731737407
1	5	政府	11.1045765374
1	6	发展	11.3445126747
1	7	，	4.87038852785
1	8	经济	8.93798689782
1	9	变	16.5138983011
1	10	好	9.20380719427
1	11	了	5.04477600799
1	12	。	2.83152637426
2	1	随着	8.38126427827
2	2	人民	7.80944462619
2	3	选择	10.258857899
2	4	的	2.92731737407
2	5	政府	11.1045765374
2	6	发展	11.3445126747
2	7	。	5.07571023093
3	1	随着	8.38126427827
3	2	人民	7.80944462619
3	3	需要	14.3034152797
3	4	的	4.34590238634
3	5	互联网	19.8924765109
3	6	的	3.20425432714
3	7	出现	11.9261253508
3	8	，	0.978011510263
3	9	生活	11.8800398506
3	10	质量	5.44228505584
3	11	提高	6.88973542191
3	12	了	5.31589410744
3	13	。	5.88159412981
4	1	随着	8.38126427827
4	2	人民	7.80944462619
4	3	需要	14.3034152797
4	4	的	4.34590238634
4	5	互联网	19.8924765109
4	6	的	3.20425432714
4	7	出现	11.9261253508
4	8	。	4.8177958863
5	1	随着	8.38126427827
5	2	一阵	12.4998378126
5	3	司机	15.8182914739
5	4	播放	15.5331210557
5	5	的	3.15480271287
5	6	铃声	19.7367565686
5	7	，	5.77084703078
5	8	火车	15.8853735172
5	9	开	13.6142198154
5	10	了	2.56482545965
5	11	。	6.20394055384
6	1	随着	8.38126427827
6	2	一阵	12.4998378126
6	3	司机	15.8182914739
6	4	播放	15.5331210557
6	5	的	3.15480271287
6	6	铃声	19.7367565686
6	7	。	5.77084703078
7	1	随着	8.38126427827
7	2	我	10.0191284242
7	3	认识	10.9099630891
7	4	的	1.68697570745
7	5	他	12.4753143762
7	6	的	4.50246558162
7	7	年龄	12.9685673291
7	8	增长	10.5405716449
7	9	，	5.28702444568
7	10	他	7.98804094119
7	11	更	9.8171182503
7	12	有	5.40534628086
7	13	自信	16.3059614125
7	14	了	7.67131174584
7	15	。	5.65840603608
8	1	随着	8.38126427827
8	2	我	10.0191284242
8	3	认识	10.9099630891
8	4	的	1.68697570745
8	5	他	12.4753143762
8	6	的	4.50246558162
8	7	年龄	12.9685673291
8	8	增长	10.5405716449
8	9	。	5.64514509203
9	1	随着	8.38126427827
9	2	我	10.0191284242
9	3	不	7.19083533609
9	4	喜欢	7.40844453571
9	5	的	4.64684132663
9	6	冬天	15.205304626
9	7	的	4.25290929106
9	8	到来	11.7316714956
9	9	，	1.67222987004
9	10	树木	17.4758912646
9	11	凋零	22.6422883943
9	12	了	9.13608245137
9	13	。	5.65840603608
10	1	随着	8.38126427827
10	2	我	10.0191284242
10	3	不	7.19083533609
