sentence_id	token_id	token	surprisal
1	1	我	8.79093074798584
1	2	很	6.588405132293701
1	3	喜欢	4.2298970222473145
1	4	一	6.816096305847168
1	5	位	3.1773061752319336
1	6	国内	10.423089981079102
1	7	的	3.862314462661743
1	8	明星	11.067364692687988
1	9	。	3.3453266620635986
2	1	我	8.79093074798584
2	2	很	6.588405132293701
2	3	喜欢	4.2298970222473145
2	4	一	6.816096305847168
2	5	首	10.5693359375
2	6	国内	12.01913833618164
2	7	的	2.968161106109619
2	8	明星	11.113940238952637
2	9	。	2.975191831588745
3	1	我	8.79093074798584
3	2	很	6.588405132293701
3	3	喜欢	4.2298970222473145
3	4	一	6.816096305847168
3	5	首	10.5693359375
3	6	国内	12.01913833618164
3	7	的	2.968161106109619
3	8	歌曲	11.086201667785645
3	9	。	2.2116644382476807
4	1	我	8.79093074798584
4	2	很	6.588405132293701
4	3	喜欢	4.2298970222473145
4	4	一	6.816096305847168
4	5	位	3.1773061752319336
4	6	国内	10.423089981079102
4	7	的	3.862314462661743
4	8	歌曲	15.230851173400879
4	9	。	2.3288521766662598
5	1	她	8.021756172180176
5	2	开车	18.705121994018555
5	3	去	7.514643669128418
5	4	了	4.335574150085449
5	5	一	4.6207661628723145
5	6	家	6.936727523803711
5	7	郊外	15.88654613494873
5	8	的	1.870728611946106
5	9	店	12.262932777404785
5	10	。	1.963804006576538
6	1	她	8.021756172180176
6	2	开车	18.705121994018555
6	3	去	7.514643669128418
6	4	了	4.335574150085449
6	5	一	4.6207661628723145
6	6	座	4.691136360168457
6	7	郊外	14.750153541564941
6	8	的	1.7085087299346924
6	9	店	14.17200756072998
6	10	。	1.849954605102539
7	1	她	8.021756172180176
7	2	开车	18.705121994018555
7	3	去	7.514643669128418
7	4	了	4.335574150085449
7	5	一	4.6207661628723145
7	6	座	4.691136360168457
7	7	郊外	14.750153541564941
7	8	的	1.7085087299346924
7	9	山	14.771479606628418
7	10	。	3.1126620769500732
8	1	她	8.021756172180176
8	2	开车	18.705121994018555
8	3	去	7.514643669128418
8	4	了	4.335574150085449
8	5	一	4.6207661628723145
8	6	家	6.936727523803711
8	7	郊外	15.88654613494873
